Unnamed: 0,thing_id,thing_name,clep_id,thing_latitude,thing_longitude,Client Name,Partner Name,City,status
0,1152,PNB Bank Roza Yakubpur,640,28.602023,77.4648742,Unicel Autotech,Phoenix Robotix,,False
1,1153,PNB Bank Vijay Nagar,640,28.6459001,77.4180561,Unicel Autotech,Phoenix Robotix,Ghaziabad,True
2,1154,PNB Bank Modi Nagar,640,28.85906,77.5930909,Unicel Autotech,Phoenix Robotix,,False
3,1207,SES Lusaka Office,674,-15.508731,28.26207,Speciality Emergency Services (SES),Renovatio Ingenuity Ltd,Lusaka,False
4,5004,Hostel Auditorium,765,20.350388,85.80624,Silicon Institute of Technology,Phoenix Robotix,Bhubaneswar,True
5,5005,Administrative Building,765,20.350388,85.80624,Silicon Institute of Technology,Phoenix Robotix,Bhubaneswar,True
6,5016,Cafeteria Computer Science,765,20.350388,85.80624,Silicon Institute of Technology,Phoenix Robotix,Bhubaneswar,True
7,5056,Head Office,805,28.669157,77.453758,Rishabh Engineering,Phoenix Robotix,Ghaziabad,True
8,5059,JJ7X39IZ DG,751,25.893309,93.719864,Arham Plastic Industries,Vivira Projects Pvt. Ltd.,Dimapur,False
9,5063,Jayceepowers_Unit_1,812,0.0,0.0,JAYCEE PUNCHING SOLUTION,Phoenix Robotix,,False
10,5064,Munali Mall,814,-15.371953,28.344641,Time Projects Property (Zambia) Ltd,Renovatio Ingenuity Ltd,Lusaka,False
11,5075,PWC,814,-15.395124,28.321424,Time Projects Property (Zambia) Ltd,Renovatio Ingenuity Ltd,Lusaka,False
12,5076,Kabulonga Centro Mall,814,-15.420039,28.342101,Time Projects Property (Zambia) Ltd,Renovatio Ingenuity Ltd,Lusaka,False
13,5077,Factory Side,822,23.2496552,77.4955377,Capital Powers,Powerlux,Bhopal,False
14,5081,Kabwata Mall,814,-15.435587,28.308224,Time Projects Property (Zambia) Ltd,Renovatio Ingenuity Ltd,Lusaka,False
15,5098,SES Kitwe ,674,-12.789809,28.243187,Speciality Emergency Services (SES),Renovatio Ingenuity Ltd,Kitwe,False
16,5100,Jayceepowers_Unit_2,812,28.218592,77.294958,JAYCEE PUNCHING SOLUTION,Phoenix Robotix,,False
17,5102,DG Monitoring Demo,845,23.32031058,85.29784513,DG Monitoring Demo,Speedotrack GPS Private Limited,,False
18,5113,Parvatizone_Pune,895,18.501905,73.847242,Vtech Power System,Kohler Power India,Pune,True
19,5115,Pandit_Javedkar_building,895,18.5160552,73.8331062,Vtech Power System,Kohler Power India,Pune,True
20,5152,DG Set - 1,935,6.62512,3.34316,DG Demo - 1,Eonsfleet Prosolutions Ltd.,,False
21,5156,Omega Industries,822,23.248306,77.488952,Capital Powers,Powerlux,Bhopal,False
22,5157,Chirundu,814,-16.033473,28.844969,Time Projects Property (Zambia) Ltd,Renovatio Ingenuity Ltd,,False
23,5168,Technoton Demo,954,0.0,0.0,Demo Customer,Technoton,,False
24,5176,Training Center,960,-15.428465,28.345713,Stanbic Bank,Renovatio Ingenuity Ltd,Lusaka,False
25,5213,Unicel Autotech office 01,640,0.0,0.0,Unicel Autotech,Phoenix Robotix,,False
26,7003,Head Office,960,-15.401151,28.308324,Stanbic Bank,Renovatio Ingenuity Ltd,Lusaka,False
27,7012,Digibay_Ojuelegba,1000,6.51054,3.3639,Digibay Limited,Eonsfleet Prosolutions Ltd.,,False
28,7087,Solwezi Town DG Set,1016,-12.186798,26.431054,Avantech Limited,Renovatio Ingenuity Ltd,,False
29,7093,Demo DG,1020,18.34648,73.86304,Shyam Global Demo,Shyam Global Technoventures,,False
30,7112,"Supreme Power Demo, Kalyani",961,22.9348154,88.5033508,Supreme Power System,Phoenix Robotix,,False
31,7113,DG Set - 1 ,1035,30.78857,76.49821,RSC Generators,Sunrise Power Technologies,,False
